t	H	V	T	 P
0.04	-489.222	-565.486	48.9464	0
0.08	-480.266	-554.203	47.4528	0
0.12	-463.474	-534.544	45.6123	0
0.16	-432.743	-504.426	46.0061	0
0.2	-363.935	-455.393	58.6969	0
0.24	-120.632	-358.396	152.596	0
0.28	781.648	-80.2647	553.173	0
0.32	3014.19	335.604	1719.11	0
0.36	4422.63	1572.19	1829.41	0
0.4	46039.8	3614.89	27228.2	0
0.44	1.05956e+10	8.95456e+08	6.22555e+09	90029
0.48	3.05081e+10	1.06522e+10	1.27434e+10	342469
0.52	1.05832e+11	4.82393e+10	3.69627e+10	749722
0.56	3.74128e+11	1.82341e+11	1.23088e+11	1.49412e+06
0.6	1.32506e+12	6.57749e+11	4.2828e+11	2.86974e+06
0.64	4.69406e+12	2.34204e+12	1.50952e+12	5.43218e+06
0.68	1.67683e+13	8.33148e+12	5.41475e+12	1.06945e+07
0.72	5.9344e+13	2.96166e+13	1.90789e+13	2.05309e+07
0.76	2.10215e+14	1.05043e+14	6.74991e+13	3.88572e+07
0.8	7.46287e+14	3.7251e+14	2.39888e+14	7.47831e+07
