t	H	V	P	 T
0.2	-361.778	-508.103	0	93.9109
0.4	-361.777	-523.227	0	103.618
0.6	-361.777	-500.102	0	88.7766
0.8	-361.777	-477.537	0	74.2946
1	-361.777	-458.263	0	61.9243
1.2	-361.777	-444.2	0	52.899
1.4	-361.777	-442.274	0	51.6625
1.6	-361.777	-439.882	3.15298	50.1275
1.8	-361.777	-447.593	0	55.0764
2	-361.777	-456.536	0	60.8158
2.2	-361.777	-463.866	0	65.5202
2.4	-361.777	-469.78	0	69.316
2.6	-361.777	-474.295	0	72.2137
2.8	-361.777	-475.176	0	72.7788
3	-361.777	-479.517	0	75.5653
3.2	-361.777	-476.65	0	73.7254
3.4	-361.777	-466.479	0	67.1977
3.6	-361.777	-459.713	0	62.8551
3.8	-361.777	-471.484	0	70.4095
4	-361.777	-463.07	0	65.0097
4.2	-361.777	-462.138	0	64.4114
4.4	-361.777	-461.907	0	64.263
4.6	-361.777	-473.676	0	71.8166
4.8	-361.777	-473.191	0	71.5053
5	-361.777	-473.489	0	71.6965
5.2	-361.777	-478.289	0	74.7767
5.4	-361.777	-478.227	0	74.7375
5.6	-361.777	-477.044	0	73.9777
5.8	-361.777	-478.654	0	75.011
6	-361.777	-470.039	0	69.4821
6.2	-361.777	-467.224	0	67.6757
6.4	-361.777	-464.43	0	65.8826
6.6	-361.777	-467.467	0	67.8315
6.8	-361.777	-463.244	0	65.1214
7	-361.777	-466.607	0	67.2796
7.2	-361.777	-466.412	0	67.1545
7.4	-361.777	-467.283	0	67.7136
7.6	-361.777	-469.571	0	69.1817
7.8	-361.777	-470.43	0	69.7333
8	-361.777	-471.91	0	70.6829
8.2	-361.777	-467.128	0	67.614
8.4	-361.777	-475.222	0	72.8088
8.6	-361.777	-474.85	0	72.5697
8.8	-361.777	-488.147	0	81.1036
9	-361.777	-482.734	0	77.6296
9.2	-361.777	-472.592	0	71.1208
9.4	-361.777	-476.171	0	73.4178
9.6	-361.777	-468.467	0	68.4734
9.8	-361.777	-469.534	0	69.1583
10	-361.777	-470.647	0	69.8724
10.2	-361.777	-470.321	0	69.6631
